StudentID,FirstName,LastName,Gender,DateOfBirth,SocialID
22125005,Mai Xuan,Bach,Male,20/01/2004,075206125005
22125006,Nguyen Minh,Quan,Male,05/01/2004,031206125006
22125007,Nguyen Duy,Phuc,Male,30/01/2004,053206125007
22125008,Le Duc,Phu,Male,29/02/2004,049206125008
22125009,Le Duc,Nhuan,Male,30/03/2004,034206125009
22125010,Lam Tu,Nhi,Female,23/04/2004,086106125010
22125011,Tran Quang,Phat,Male,29/05/2005,025206125011
22125011,Nguyen Quoc,Nghia,Male,24/04/2004,091206125011
22125012,Le Huu,Nghia,Male,05/10/2004,054206125012
22125012,Chau,Kiet,Male,28/06/2005,044206125012
22125013,Bui Danh,Nghe,Male,06/11/2004,016206125013
22125013,Phung Huu,Tai,Male,23/05/2005,040206125013
22125014,Pham Ngoc Anh,Thu,Female,09/09/2005,076106125014
22125014,Nguyen Huu Hoang,Minh,Male,07/07/2004,090206125014
22125015,Vo Nguyen,Khang,Male,05/01/2005,028206125015
22125016,Le Hoai,Phuong,Female,02/12/2005,013106125016
22125017,Lang Thao,Thao,Female,13/03/2005,030106125017
22125018,Vo Minh,Thong,Male,15/04/2005,021206125018
22125019,Khuong Nhan,Kiet,Male,16/06/2005,015206125019
22125020,Nguyen Thanh,Loc,Male,07/01/2005,082206125020
22125051,Ngo Quang,Minh,Male,05/02/2004,042206125051
22125052,Cao Vo Nhat,Minh,Male,30/03/2004,056206125052
22125053,Duong Ngoc,Mai,Female,05/05/2004,056106125053
22125054,Nguyen Minh,Luan,Male,06/10/2004,061206125054
22125055,Le Quang,Liem,Male,12/04/2004,079206125055
22125056,Le Mai,Khoi,Male,15/05/2004,025206125056
22125057,Mai Dang,Khoa,Male,21/06/2004,015206125057
22125058,Nguyen Kim,Khanh,Male,30/09/2004,042206125058
22125059,Le Minh,Hoang,Male,31/01/2004,010206125059
22125060,Huynh Huu,Hau,Male,20/02/2004,010206125060
