ID,First name,Last name,Gender,Birthday,Social ID
22125005,Mai Xuan,Bach,Male,20/01/2004,101404
22125006,Nguyen Minh,Quan, Male,05/01/2004,101674
22125007,Nguyen Duy,Phuc,Male,30/01/2004,101261
22125008,Le Duc,Phu,Male,29/02/2004,101567
22125009,Le Duc,Nhuan,Male,30/03/2004,101977
22125010,Lam Tu, Nhi,Female,23/04/2004,101912
22125011,Nguyen Quoc, Nghia,Male,24/04/2004,101812
22125012,Le Huu,Nghia,Male,05/10/2004,101733
22125013,Bui Danh,Nghe,Male,06/11/2004,101633
22125014,Nguyen Huu Hoang,Minh,Male,07/07/2004,101299
