username,password,role
22125001,password,student
22125002,password,student
22125003,password,student
22125004,password,student
22125005,password,student
22125006,password,student
22125007,password,student
22125008,password,student
22125009,password,student
22125010,password,student
22125011,password,student
22125012,password,student
22125013,password,student
22125014,password,student
22125015,password,student
22125016,password,student
22125018,password,student
22125019,password,student
22125020,password,student
22125021,password,student
22125022,password,student
22125023,password,student
22125024,password,student
22125025,password,student
22125027,password,student
22125028,password,student
22125029,password,student
22125030,password,student
22125032,password,student
22125033,password,student
22125034,password,student
22125035,password,student
22125036,password,student
22125037,password,student
22125038,password,student
22125039,password,student
22125040,password,student
22125042,password,student
22125043,password,student
22125044,password,student
22125045,password,student
22125046,password,student
22125047,password,student
22125048,password,student
22125049,password,student
22125050,password,student
22125051,password,student
22125052,password,student
22125053,password,student
22125054,password,student
22125055,password,student
22125056,password,student
22125057,password,student
22125058,password,student
22125059,password,student
22125060,password,student
22125061,password,student
22125062,password,student
22125063,password,student
22125064,password,student
22125065,password,student
22125066,password,student
22125067,password,student
22125068,password,student
22125069,password,student
22125070,password,student
22125071,password,student
22125072,password,student
22125074,password,student
22125076,password,student
22125077,password,student
22125078,password,student
22125080,password,student
22125081,password,student
22125082,password,student
22125083,password,student
22125084,password,student
22125085,password,student
22125086,password,student
22125087,password,student
22125088,password,student
22125089,password,student
22125090,password,student
22125091,password,student
22125092,password,student
22125093,password,student
dinhbatien,123456,staff
