StudentID,FirstName,LastName,Gender,DateOfBirth,SocialID
23125024,Tran Duc,An,Male,12/05/2005,049205123456
23125025,Le Hoang,An,Male,17/11/2005,049205789012
23125029,Nguyen Tien,Dat,Male,28/07/2005,049205345678
23125033,Tran Phuoc,Hai,Male,14/03/2005,049205901234
23125035,Hoang Don Thien,Hoa,Male,20/10/2005,049205567890
23125036,Dinh Ho Gia,Huy,Male,25/06/2005,049205234567
23125037,Nguyen Ngoc Lam,Huy,Male,22/01/2005,049205890123
23125038,Tang Quang,Huy,Male,18/08/2005,049205678901
23125040,Vo Hoang,Nam,Male,15/04/2005,049205012345
23125042,Le Minh,Nghia,Male,21/11/2005,049205789012
23125044,Duong Dinh Tri,Quang,Male,26/07/2005,049205345678
23125045,Tran Nguyen Duc,Tam,Male,23/02/2005,049205901234
23125046,Vu Mai,Thuy,Female,19/09/2005,049205567890
23125047,Huynh Tran,Uy,Male,16/05/2005,049205234567
23125049,Tran My,An,Female,22/12/2005,049205890123
23125050,Ho Lam Ngoc,Bao,Male,27/08/2005,049205678901
23125051,Nguyen Anh,Bao,Male,24/03/2005,049205012345
23125053,Le Tan Nguyen,Dat,Male,20/10/2005,049205789012
23125054,Ngo Tan,Dat,Male,25/06/2005,049205345678
23125055,Nguyen Hoang Gia,Han,Female,22/01/2005,049205901234
23125056,Vo Tran,Hien,Male,18/08/2005,049205567890
23125057,Bui Le,Hoang,Male,15/04/2005,049205234567
23125058,Pham Bao,Kha,Male,21/11/2005,049205890123
23125059,Ho Nguyen Dang,Khoa,Male,26/07/2005,049205678901
23125060,Hoang Tuan,Khoa,Male,23/02/2005,049205012345
23125063,Pham Long,Nghiem,Male,19/09/2005,049205789012
23125064,Cao Hoang,Nguyen,Male,16/05/2005,049205345678
23125065,Do Phan Tuan,Phat,Male,22/12/2005,049205901234
23125067,Nguyen Le Thinh,Phuc,Male,27/08/2005,049205678901
23125068,Nguyen Nam,Quan,Male,24/03/2005,049205012345
23125070,Nguyen Cong Viet,Thanh,Male,20/10/2005,049205789012
23125071,Nguyen Dang Huu,Thinh,Male,25/06/2005,049205345678
23125072,Tran Nguyen Phuc,Thinh,Male,22/01/2005,049205901234
23125076,Nguyen Nam,Anh,Male,18/08/2005,049205567890
23125077,Nguyen Phan Hoang,Bach,Male,15/04/2005,049205234567
23125078,Le Kim,Chau,Male,21/11/2005,049205890123
23125080,Pham Minh,Duc,Male,26/07/2005,049205678901
23125082,Nguyen Thanh,Hai,Male,23/02/2005,049205012345
23125083,Vo Lam,Khai,Male,19/09/2005,049205789012
23125084,Nguyen Dang,Khoa,Male,16/05/2005,049205345678
23125085,Nguyen Nhat,Khoa,Male,22/12/2005,049205901234
23125086,Vay Thuong Gia,Lac,Male,27/08/2005,049205678901
23125088,Le Thanh,Phat,Male,24/03/2005,049205012345
23125089,Doan Cong,Pho,Male,20/10/2005,049205789012
23125092,Nguyen Duc,Thinh,Male,25/06/2005,049205345678
